Present_b,Search_b,ID,Present_2wa,Search_2wa,Present_4wa,Search_4wa
10,26,0BywrMoxyK4CqTMrfzhRpBuPGt96G3J4',NA,NA,NA,NA
35,20,0Ck8CVM19UcALyJD3GJeBIGFZfhobzUG',NA,NA,NA,NA
35,22,0GDq2cqvb1Oc9JXfbVHLsgMmKKrriJnb',NA,NA,NA,NA
24,29,0HKfQ1NminfmleDTrLGAOupENvFCOScy',31,26,NA,NA
22,23,0HhrbLWHE8U4H89IuzKMG57pDS6ThiMD',6,7,NA,NA
28,21,0SpbK7oeEQ8T44lLx289zovExNYwyHo7',26,22,29,35
28,13,0T29g5nEseP9NnyAzVlJnAhZBFdBmrhK',NA,NA,NA,NA
34,35,0WgOJ6TzPevthhgYwBiGIYUVTRLK4U14',NA,NA,NA,NA
9,30,0d2Ei33sA5FI6lPfSvj2Cd6WI74Mz8Kn',24,32,11,27
29,35,0igONbW1D9ACJMpdvBjfUl1gXnO9HEXY',29,33,28,22
10,33,0r5CtVxhWhwXxkD5joYACGRTsrDp5SW6',NA,NA,NA,NA
22,23,0xl9aOn443FPoO5fIYx1ViAJNHU2oQ2b',20,20,22,20
7,33,110MeSYj51z2UIBlqEEfrXfnu8P8YDNf',13,27,11,31
23,27,13V1wFDWkZZCsltVC3qMt3UTXOcSRLJR',35,5,34,5
26,22,1EpRrx2iT1BMaXW0teIro7Gjk4YJwb4H',33,20,31,13
6,29,1Kazn001wB9m6dC0uYsqYLUctkkBOZFv',NA,NA,NA,NA
30,20,1MpYOQXSVeyxc0C3WJeEUoZaCNyeVLzk',32,20,32,18
11,33,1RE89CQYnsQsIN08789lxSPvZGQ0kVqJ',NA,NA,NA,NA
33,12,1cnHJBMSIBxMgEseqRbyJyyzgAno6Bl4',31,17,30,15
15,34,1eeIUMSgRV2zDdiu3G90U6BdwvttbKVz',NA,NA,NA,NA
33,33,1gRiXpxtr4t0XnQaT2XhIKegrs5vJzPc',35,35,NA,NA
29,17,1nLZULE2CrMqTxWoWWmYIJufyXFjxvaV',NA,NA,NA,NA
23,28,1vuNPFqPZnHeCiILSZojwyITU0yzrDPb',29,20,NA,NA
27,30,1w7i6Q30URyIGDs0g9VuLjtokyfdiixv',NA,NA,NA,NA
17,21,27OvjWexPn0bNYCgjRu70T3nawjDl8XO',NA,NA,NA,NA
31,22,2BAXde40CfihxgkRudGSWixte0TwFBqP',35,20,NA,NA
21,22,2BDqoH7io0IN3oOqlFphFmuysZdz8x3o',NA,NA,NA,NA
28,17,2D0nZNVq5FIzwEjTOm297LuMAryGuCZ8',NA,NA,NA,NA
32,34,2HrQhsToZSsMnpJV4yXl43jDH41x7bW0',NA,NA,NA,NA
19,15,2QV00nJf0TVNXvmwsKxadP2Xe0vaf4Rh',25,20,21,15
