ID,MLQ_QN,MLQ_b_p_ques,MLQ_b_p_score,MLQ_b_s_ques,MLQ_b_s_score,MLQ_2wa_s_ques,MLQ_2wa_s_score,MLQ_2wa_p_ques,MLQ_2wa_p_score,MLQ_4wa_p_ques,MLQ_4wa_p_score,MLQ_4wa_s_ques,MLQ_4wa_s_score
0BywrMoxyK4CqTMrfzhRpBuPGt96G3J4',Q1,MLQ_b_p_Q1,1,MLQ_b_s_Q1,6,MLQ_2wa_s_Q1,NA,MLQ_2wa_p_Q1,NA,MLQ_4wa_p_Q1,NA,MLQ_4wa_s_Q1,NA
0BywrMoxyK4CqTMrfzhRpBuPGt96G3J4',Q2,MLQ_b_p_Q2,2,MLQ_b_s_Q2,5,MLQ_2wa_s_Q2,NA,MLQ_2wa_p_Q2,NA,MLQ_4wa_p_Q2,NA,MLQ_4wa_s_Q2,NA
0BywrMoxyK4CqTMrfzhRpBuPGt96G3J4',Q3,MLQ_b_p_Q3,2,MLQ_b_s_Q3,5,MLQ_2wa_s_Q3,NA,MLQ_2wa_p_Q3,NA,MLQ_4wa_p_Q3,NA,MLQ_4wa_s_Q3,NA
0BywrMoxyK4CqTMrfzhRpBuPGt96G3J4',Q4,MLQ_b_p_Q4,2,MLQ_b_s_Q4,5,MLQ_2wa_s_Q4,NA,MLQ_2wa_p_Q4,NA,MLQ_4wa_p_Q4,NA,MLQ_4wa_s_Q4,NA
0BywrMoxyK4CqTMrfzhRpBuPGt96G3J4',Q5,MLQ_b_p_Q5,3,MLQ_b_s_Q5,5,MLQ_2wa_s_Q5,NA,MLQ_2wa_p_Q5,NA,MLQ_4wa_p_Q5,NA,MLQ_4wa_s_Q5,NA
0Ck8CVM19UcALyJD3GJeBIGFZfhobzUG',Q1,MLQ_b_p_Q1,7,MLQ_b_s_Q1,4,MLQ_2wa_s_Q1,NA,MLQ_2wa_p_Q1,NA,MLQ_4wa_p_Q1,NA,MLQ_4wa_s_Q1,NA
0Ck8CVM19UcALyJD3GJeBIGFZfhobzUG',Q2,MLQ_b_p_Q2,7,MLQ_b_s_Q2,4,MLQ_2wa_s_Q2,NA,MLQ_2wa_p_Q2,NA,MLQ_4wa_p_Q2,NA,MLQ_4wa_s_Q2,NA
0Ck8CVM19UcALyJD3GJeBIGFZfhobzUG',Q3,MLQ_b_p_Q3,7,MLQ_b_s_Q3,4,MLQ_2wa_s_Q3,NA,MLQ_2wa_p_Q3,NA,MLQ_4wa_p_Q3,NA,MLQ_4wa_s_Q3,NA
0Ck8CVM19UcALyJD3GJeBIGFZfhobzUG',Q4,MLQ_b_p_Q4,7,MLQ_b_s_Q4,4,MLQ_2wa_s_Q4,NA,MLQ_2wa_p_Q4,NA,MLQ_4wa_p_Q4,NA,MLQ_4wa_s_Q4,NA
0Ck8CVM19UcALyJD3GJeBIGFZfhobzUG',Q5,MLQ_b_p_Q5,7,MLQ_b_s_Q5,4,MLQ_2wa_s_Q5,NA,MLQ_2wa_p_Q5,NA,MLQ_4wa_p_Q5,NA,MLQ_4wa_s_Q5,NA
0d2Ei33sA5FI6lPfSvj2Cd6WI74Mz8Kn',Q1,MLQ_b_p_Q1,2,MLQ_b_s_Q1,6,MLQ_2wa_s_Q1,6,MLQ_2wa_p_Q1,5,MLQ_4wa_p_Q1,3,MLQ_4wa_s_Q1,6
0d2Ei33sA5FI6lPfSvj2Cd6WI74Mz8Kn',Q2,MLQ_b_p_Q2,1,MLQ_b_s_Q2,6,MLQ_2wa_s_Q2,7,MLQ_2wa_p_Q2,5,MLQ_4wa_p_Q2,2,MLQ_4wa_s_Q2,6
0d2Ei33sA5FI6lPfSvj2Cd6WI74Mz8Kn',Q3,MLQ_b_p_Q3,2,MLQ_b_s_Q3,6,MLQ_2wa_s_Q3,6,MLQ_2wa_p_Q3,4,MLQ_4wa_p_Q3,3,MLQ_4wa_s_Q3,6
0d2Ei33sA5FI6lPfSvj2Cd6WI74Mz8Kn',Q4,MLQ_b_p_Q4,2,MLQ_b_s_Q4,5,MLQ_2wa_s_Q4,6,MLQ_2wa_p_Q4,5,MLQ_4wa_p_Q4,1,MLQ_4wa_s_Q4,2
0d2Ei33sA5FI6lPfSvj2Cd6WI74Mz8Kn',Q5,MLQ_b_p_Q5,2,MLQ_b_s_Q5,7,MLQ_2wa_s_Q5,7,MLQ_2wa_p_Q5,5,MLQ_4wa_p_Q5,2,MLQ_4wa_s_Q5,7
