EBI_sum,EDI_total,I felt at one with the universe.,I felt a sense of union with others.,I experienced a decrease in my sense of self-importance.,"I experienced a disintegration of my ""self"" or ego.",I felt far less absorbed by my own issues and concerns.,I lost all sense of ego.,all notion of self and identity dissolved away.,...9,...10,Total...11,...12,Total...13,CEQ_Total,MEQ_Total,ASC_Unity,ASC_Spiritual,ASC_Bliss,ASC_Insight,ASC_Disembodiment,ASC_Imp Contr Cogn,ASC_Anxiety,ASC_Complex im,ASC_Elem im,ASC_Aud-Vis,ASC_Changed Meaning
NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
600,80,100,100,50,100,100,100,100,NA,NA,91.25,NA,91.25,2.3076923076923075,84,100,100,100,96.66666666666667,0,12,0,66.66666666666667,83.66666666666667,0,100
NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
364,58,48,72,22,18,10,1,1,NA,NA,28.75,NA,28.75,8.461538461538462,80.66666666666667,59.2,83.66666666666667,67,44.666666666666664,2.3333333333333335,21.714285714285715,9.5,58.333333333333336,79,28.666666666666668,41.666666666666664
252,22,29,21,6,20,22,41,26,NA,NA,23.375,NA,23.375,2.3076923076923075,46,35,11.666666666666666,50,14,5,2.142857142857143,0.6666666666666666,12.333333333333334,3.3333333333333335,7.333333333333333,10.333333333333334
385,74,99,99,100,99,100,100,100,NA,NA,96.375,NA,96.375,6.153846153846154,98,99,70.33333333333333,99.66666666666667,98.66666666666667,37.666666666666664,19.285714285714285,0,98.66666666666667,99,69,82
NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
520,0,0,70,40,0,10,0,0,NA,NA,15,NA,15,30.76923076923077,28,21,16.666666666666668,61.666666666666664,66.33333333333333,3.3333333333333335,10,25,46.666666666666664,30,16.666666666666668,35
371,38,16,13,0,0,0,0,0,NA,NA,8.375,NA,8.375,21.53846153846154,58,16.4,15,75.33333333333333,30.333333333333332,27,18,4.666666666666667,35.333333333333336,7.333333333333333,32,34
