ID,EBI_sum,EDI_total,ASC_Unity,ASC_Spiritual,ASC_Bliss,ASC_Insight,ASC_Disembodiment,ASC_Imp Contr Cogn,ASC_Anxiety,ASC_Complex im,ASC_Elem im,ASC_Aud-Vis,ASC_Changed Meaning,CEQ_Fear,CEQ_Grief,CEQ_Physical distress,CEQ_Insanity,CEQ_Isolation,CEQ_Death,CEQ_Paranoia,CEQ_Total,MEQ_Mystical,MEQ_PosiMood,MEQ_SpaceTime,MEQ_Ineffability,MEQ_Total
0BywrMoxyK4CqTMrfzhRpBuPGt96G3J4',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0Ck8CVM19UcALyJD3GJeBIGFZfhobzUG',600,91.25,100,100,100,96.66666666666667,0,12,0,66.66666666666667,83.66666666666667,0,100,0,0,12,0,0,0,0,2.3076923076923075,90.66666666666667,100,43.333333333333336,100,84
0GDq2cqvb1Oc9JXfbVHLsgMmKKrriJnb',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0HKfQ1NminfmleDTrLGAOupENvFCOScy',364,28.75,59.2,83.66666666666667,67,44.666666666666664,2.3333333333333335,21.714285714285715,9.5,58.333333333333336,79,28.666666666666668,41.666666666666664,12,6.666666666666667,16,6.666666666666667,6.666666666666667,0,0,8.461538461538462,78.66666666666667,90,80,73.33333333333333,80.66666666666667
0HhrbLWHE8U4H89IuzKMG57pDS6ThiMD',252,23.375,35,11.666666666666666,50,14,5,2.142857142857143,0.6666666666666666,12.333333333333334,3.3333333333333335,7.333333333333333,10.333333333333334,0,3.3333333333333335,4,6.666666666666667,0,0,0,2.3076923076923075,38.666666666666664,50,50,66.66666666666667,46
0SpbK7oeEQ8T44lLx289zovExNYwyHo7',385,96.375,99,70.33333333333333,99.66666666666667,98.66666666666667,37.666666666666664,19.285714285714285,0,98.66666666666667,99,69,82,4,10,12,0,0,0,10,6.153846153846154,97.33333333333333,100,100,93.33333333333333,98
0T29g5nEseP9NnyAzVlJnAhZBFdBmrhK',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0WgOJ6TzPevthhgYwBiGIYUVTRLK4U14',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0d2Ei33sA5FI6lPfSvj2Cd6WI74Mz8Kn',520,15,21,16.666666666666668,61.666666666666664,66.33333333333333,3.3333333333333335,10,25,46.666666666666664,30,16.666666666666668,35,44,50,28,13.333333333333334,33.333333333333336,0,0,30.76923076923077,22.666666666666668,46.666666666666664,0,73.33333333333333,28
0igONbW1D9ACJMpdvBjfUl1gXnO9HEXY',371,8.375,16.4,15,75.33333333333333,30.333333333333332,27,18,4.666666666666667,35.333333333333336,7.333333333333333,32,34,28,36.666666666666664,32,13.333333333333334,0,0,0,21.53846153846154,52,53.333333333333336,70,73.33333333333333,58
0r5CtVxhWhwXxkD5joYACGRTsrDp5SW6',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0xl9aOn443FPoO5fIYx1ViAJNHU2oQ2b',160,25,50,26.666666666666668,53.333333333333336,40,27.666666666666668,0.8571428571428571,1.6666666666666667,40,49.333333333333336,51.333333333333336,40,0,16.666666666666668,12,6.666666666666667,6.666666666666667,0,0,7.6923076923076925,73.33333333333333,76.66666666666667,60,66.66666666666667,70.66666666666667
110MeSYj51z2UIBlqEEfrXfnu8P8YDNf',539,43.5,38.2,41.666666666666664,74.33333333333333,77.33333333333333,0,35,8.166666666666666,100,66.66666666666667,27,73.66666666666667,20,16.666666666666668,12,26.666666666666668,0,10,0,13.846153846153847,61.333333333333336,63.333333333333336,10,80,53.333333333333336
13V1wFDWkZZCsltVC3qMt3UTXOcSRLJR',131,51,76.6,21.333333333333332,77,39,62.333333333333336,28.285714285714285,6.833333333333333,68,75,20,73,0,10,12,0,0,0,0,4.615384615384615,60,60,30,86.66666666666667,56.666666666666664
1EpRrx2iT1BMaXW0teIro7Gjk4YJwb4H',550,100,89,63.333333333333336,100,70,68.33333333333333,50,42.5,20,100,38.333333333333336,85,16,23.333333333333332,0,40,53.333333333333336,0,10,20,100,93.33333333333333,100,100,98.66666666666667
1Kazn001wB9m6dC0uYsqYLUctkkBOZFv',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1MpYOQXSVeyxc0C3WJeEUoZaCNyeVLzk',124,71.5,91.4,95.33333333333333,86.33333333333333,46,31,16.428571428571427,13.5,75.66666666666667,82.33333333333333,73,86,0,6.666666666666667,12,6.666666666666667,6.666666666666667,0,0,5.384615384615385,92,93.33333333333333,96.66666666666667,100,94
1RE89CQYnsQsIN08789lxSPvZGQ0kVqJ',0,45.5,7.4,12,83.33333333333333,34.333333333333336,36,2.5714285714285716,0,63.666666666666664,93.66666666666667,55,15.666666666666666,0,0,32,0,0,0,0,6.153846153846154,33.333333333333336,100,36.666666666666664,0,44
1cnHJBMSIBxMgEseqRbyJyyzgAno6Bl4',340,46.875,70.2,64,68.66666666666667,78,30,20.571428571428573,21.166666666666668,44,49.333333333333336,66.33333333333333,40.333333333333336,60,16.666666666666668,36,0,0,0,50,26.153846153846153,66.66666666666667,60,33.333333333333336,33.333333333333336,55.333333333333336
1eeIUMSgRV2zDdiu3G90U6BdwvttbKVz',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1gRiXpxtr4t0XnQaT2XhIKegrs5vJzPc',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1nLZULE2CrMqTxWoWWmYIJufyXFjxvaV',0,0,1.6,0,0,0.3333333333333333,0,0,4.833333333333333,0,0,0,0,8,0,0,13.333333333333334,0,0,0,3.076923076923077,6.666666666666667,26.666666666666668,0,0,8.666666666666666
1vuNPFqPZnHeCiILSZojwyITU0yzrDPb',1,4.5,3.6,7.666666666666667,7.333333333333333,8.333333333333334,0.6666666666666666,0.5714285714285714,0.16666666666666666,2.3333333333333335,2.6666666666666665,5,4,0,6.666666666666667,0,0,0,0,0,1.5384615384615385,14.666666666666666,40,0,0,15.333333333333334
1w7i6Q30URyIGDs0g9VuLjtokyfdiixv',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27OvjWexPn0bNYCgjRu70T3nawjDl8XO',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2BAXde40CfihxgkRudGSWixte0TwFBqP',159,12.625,4.8,17,52.333333333333336,44,0,0,0,37.666666666666664,40.666666666666664,20.666666666666668,10.333333333333334,4,0,0,0,0,0,0,0.7692307692307693,25.333333333333332,60,13.333333333333334,53.333333333333336,32.666666666666664
2BDqoH7io0IN3oOqlFphFmuysZdz8x3o',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2D0nZNVq5FIzwEjTOm297LuMAryGuCZ8',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2HrQhsToZSsMnpJV4yXl43jDH41x7bW0',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2QV00nJf0TVNXvmwsKxadP2Xe0vaf4Rh',415,85,77.4,45,100,73.33333333333333,81.66666666666667,22.571428571428573,6.166666666666667,97.33333333333333,93.33333333333333,100,95,8,20,12,6.666666666666667,6.666666666666667,0,0,10,81.33333333333333,100,83.33333333333333,100,87.33333333333333
2RDAuUvnarz7ToFa2bShZ0CISClWBhxX',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31Ar1y9TcVWgJSB1yMG9W4w9hVOsEWjB',41,15,19.2,11.666666666666666,30,22.333333333333332,6.333333333333333,8.571428571428571,3.3333333333333335,15.666666666666666,33,24,39.333333333333336,0,3.3333333333333335,0,0,13.333333333333334,0,0,2.3076923076923075,40,46.666666666666664,36.666666666666664,46.666666666666664,41.333333333333336
322HT44ysh8vnvKgaExcdlMgZYVSwmPn',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3BvEDI7sCLinJSTh3DgvPDPzqh2wxkiw',78,41.125,15.2,9.666666666666666,32.666666666666664,41.333333333333336,24.333333333333332,4.714285714285714,14.833333333333334,43,64.33333333333333,96,12,0,6.666666666666667,4,0,0,0,0,2.3076923076923075,53.333333333333336,70,50,80,58.666666666666664
3CvCNhVceRSUPr7ztMTZpMz80LmY4X68',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3EBloCeOPih6wMKBEMY7hm3CtWxkxKGa',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
